"StichtagDatJahr","KreisSort","KreisCd","KreisLang","SteuerTarifSort","SteuerTarifCd","SteuerTarifLang","SteuerVermoegen_p50","SteuerVermoegen_p25","SteuerVermoegen_p75"
2001,2,"2","Kreis 2",1,"01","Verheiratetentarif",152,29.5,469
2001,2,"2","Kreis 2",2,"02","Einelternfamilientarif",10,0,71.5
2001,3,"3","Kreis 3",0,"00","Grundtarif",20,0,97
2001,3,"3","Kreis 3",1,"01","Verheiratetentarif",56,0,214
2001,3,"3","Kreis 3",2,"02","Einelternfamilientarif",3,0,36
2001,4,"4","Kreis 4",0,"00","Grundtarif",8,0,53
2001,4,"4","Kreis 4",1,"01","Verheiratetentarif",8,0,91
2001,4,"4","Kreis 4",2,"02","Einelternfamilientarif",0,0,14.5
2001,5,"5","Kreis 5",0,"00","Grundtarif",10,0,61
2001,5,"5","Kreis 5",1,"01","Verheiratetentarif",19,0,133
2001,5,"5","Kreis 5",2,"02","Einelternfamilientarif",0,0,32
2001,6,"6","Kreis 6",0,"00","Grundtarif",39,4,170
2001,6,"6","Kreis 6",1,"01","Verheiratetentarif",148,29,473
2001,6,"6","Kreis 6",2,"02","Einelternfamilientarif",25,0,108
2001,7,"7","Kreis 7",0,"00","Grundtarif",62,8,304
2001,7,"7","Kreis 7",1,"01","Verheiratetentarif",317.5,73,1089
2001,7,"7","Kreis 7",2,"02","Einelternfamilientarif",34.5,0,183
2001,8,"8","Kreis 8",0,"00","Grundtarif",41,3,193
2001,8,"8","Kreis 8",1,"01","Verheiratetentarif",198,33,660
2001,8,"8","Kreis 8",2,"02","Einelternfamilientarif",30.5,0,153.5
2001,9,"9","Kreis 9",0,"00","Grundtarif",22,0,112
2001,9,"9","Kreis 9",1,"01","Verheiratetentarif",78,1,261
2001,9,"9","Kreis 9",2,"02","Einelternfamilientarif",1,0,31
2001,10,"10","Kreis 10",0,"00","Grundtarif",34,2,160
2001,10,"10","Kreis 10",1,"01","Verheiratetentarif",134,22,429
2001,10,"10","Kreis 10",2,"02","Einelternfamilientarif",13.5,0,72
2001,11,"11","Kreis 11",0,"00","Grundtarif",19,0,99
2001,11,"11","Kreis 11",1,"01","Verheiratetentarif",73,2,253.63
2001,11,"11","Kreis 11",2,"02","Einelternfamilientarif",3,0,39
2001,12,"12","Kreis 12",0,"00","Grundtarif",16,0,80
2001,12,"12","Kreis 12",1,"01","Verheiratetentarif",47,0,183
2001,12,"12","Kreis 12",2,"02","Einelternfamilientarif",0,0,22
2002,1,"1","Kreis 1",0,"00","Grundtarif",27,0,170
2002,1,"1","Kreis 1",1,"01","Verheiratetentarif",183,23,664
2002,1,"1","Kreis 1",2,"02","Einelternfamilientarif",38,3,224
2002,2,"2","Kreis 2",0,"00","Grundtarif",35,3,171
2002,2,"2","Kreis 2",1,"01","Verheiratetentarif",150,28,446
2002,2,"2","Kreis 2",2,"02","Einelternfamilientarif",10,0,77
2002,3,"3","Kreis 3",0,"00","Grundtarif",19,0,94
2002,3,"3","Kreis 3",1,"01","Verheiratetentarif",54,0,205
2002,3,"3","Kreis 3",2,"02","Einelternfamilientarif",2,0,36
2002,4,"4","Kreis 4",0,"00","Grundtarif",6,0,51
2002,4,"4","Kreis 4",1,"01","Verheiratetentarif",6,0,86
2002,4,"4","Kreis 4",2,"02","Einelternfamilientarif",0,0,15
2002,5,"5","Kreis 5",0,"00","Grundtarif",10,0,61
2002,5,"5","Kreis 5",1,"01","Verheiratetentarif",19,0,135.2
2002,5,"5","Kreis 5",2,"02","Einelternfamilientarif",0,0,31.5
2002,6,"6","Kreis 6",0,"00","Grundtarif",38,4,161
2002,6,"6","Kreis 6",1,"01","Verheiratetentarif",140,25,461
2002,6,"6","Kreis 6",2,"02","Einelternfamilientarif",23,0,121
2002,7,"7","Kreis 7",0,"00","Grundtarif",58,7,286
2002,7,"7","Kreis 7",1,"01","Verheiratetentarif",299,70,1038
2002,7,"7","Kreis 7",2,"02","Einelternfamilientarif",41,1,198
2002,8,"8","Kreis 8",0,"00","Grundtarif",38,2,178
2002,8,"8","Kreis 8",1,"01","Verheiratetentarif",191.5,32,662
2002,8,"8","Kreis 8",2,"02","Einelternfamilientarif",26,0,128
2002,9,"9","Kreis 9",0,"00","Grundtarif",21,0,108
2002,9,"9","Kreis 9",1,"01","Verheiratetentarif",71,0,251
2002,9,"9","Kreis 9",2,"02","Einelternfamilientarif",1,0,31
2002,10,"10","Kreis 10",0,"00","Grundtarif",33,2,150
2002,10,"10","Kreis 10",1,"01","Verheiratetentarif",127,19,415
2002,10,"10","Kreis 10",2,"02","Einelternfamilientarif",13,0,68
2002,11,"11","Kreis 11",0,"00","Grundtarif",17,0,94
2002,11,"11","Kreis 11",1,"01","Verheiratetentarif",67,1,243
2002,11,"11","Kreis 11",2,"02","Einelternfamilientarif",3,0,37
2002,12,"12","Kreis 12",0,"00","Grundtarif",14,0,78
2002,12,"12","Kreis 12",1,"01","Verheiratetentarif",42,0,173
2002,12,"12","Kreis 12",2,"02","Einelternfamilientarif",0,0,19
2003,1,"1","Kreis 1",0,"00","Grundtarif",29,0,185
2003,1,"1","Kreis 1",1,"01","Verheiratetentarif",196,21,733
2003,1,"1","Kreis 1",2,"02","Einelternfamilientarif",40,0,197
2003,2,"2","Kreis 2",0,"00","Grundtarif",35.5,3,182
2003,2,"2","Kreis 2",1,"01","Verheiratetentarif",153,26,472
2003,2,"2","Kreis 2",2,"02","Einelternfamilientarif",13,0,84
2003,3,"3","Kreis 3",0,"00","Grundtarif",20,0,98
2003,3,"3","Kreis 3",1,"01","Verheiratetentarif",52,0,214
2003,3,"3","Kreis 3",2,"02","Einelternfamilientarif",2,0,36
2003,4,"4","Kreis 4",0,"00","Grundtarif",6,0,53
2003,4,"4","Kreis 4",1,"01","Verheiratetentarif",6,0,89
2003,4,"4","Kreis 4",2,"02","Einelternfamilientarif",0,0,15
2003,5,"5","Kreis 5",0,"00","Grundtarif",11,0,68
2003,5,"5","Kreis 5",1,"01","Verheiratetentarif",21,0,146
2003,5,"5","Kreis 5",2,"02","Einelternfamilientarif",1,0,43
2003,6,"6","Kreis 6",0,"00","Grundtarif",40,4,173
2003,6,"6","Kreis 6",1,"01","Verheiratetentarif",151,27,492
2003,6,"6","Kreis 6",2,"02","Einelternfamilientarif",25,0,126
2003,7,"7","Kreis 7",0,"00","Grundtarif",60,7,305
2003,7,"7","Kreis 7",1,"01","Verheiratetentarif",326,76,1120
2003,7,"7","Kreis 7",2,"02","Einelternfamilientarif",41,0,229
2003,8,"8","Kreis 8",0,"00","Grundtarif",41,2,195
2003,8,"8","Kreis 8",1,"01","Verheiratetentarif",198,34,712
2003,8,"8","Kreis 8",2,"02","Einelternfamilientarif",30.5,1,124
2003,9,"9","Kreis 9",0,"00","Grundtarif",21,0,114
2003,9,"9","Kreis 9",1,"01","Verheiratetentarif",73,1,263
2003,9,"9","Kreis 9",2,"02","Einelternfamilientarif",2,0,33
2003,10,"10","Kreis 10",0,"00","Grundtarif",33,2,159
2003,10,"10","Kreis 10",1,"01","Verheiratetentarif",140,22,451
2003,10,"10","Kreis 10",2,"02","Einelternfamilientarif",14,0,71
2003,11,"11","Kreis 11",0,"00","Grundtarif",18,0,96
2003,11,"11","Kreis 11",1,"01","Verheiratetentarif",68,0,248
2003,11,"11","Kreis 11",2,"02","Einelternfamilientarif",2,0,32
2003,12,"12","Kreis 12",0,"00","Grundtarif",14,0,78
2003,12,"12","Kreis 12",1,"01","Verheiratetentarif",42,0,175
2003,12,"12","Kreis 12",2,"02","Einelternfamilientarif",0,0,19
2004,1,"1","Kreis 1",0,"00","Grundtarif",27,0,186
2004,1,"1","Kreis 1",1,"01","Verheiratetentarif",198,32,791
2004,1,"1","Kreis 1",2,"02","Einelternfamilientarif",64,0,280
2004,2,"2","Kreis 2",0,"00","Grundtarif",35,2,183
2004,2,"2","Kreis 2",1,"01","Verheiratetentarif",152,25,484
2004,2,"2","Kreis 2",2,"02","Einelternfamilientarif",13,0,81
2004,3,"3","Kreis 3",0,"00","Grundtarif",20,0,100
2004,3,"3","Kreis 3",1,"01","Verheiratetentarif",52,0,216
2004,3,"3","Kreis 3",2,"02","Einelternfamilientarif",3,0,39
2004,4,"4","Kreis 4",0,"00","Grundtarif",6,0,54
2004,4,"4","Kreis 4",1,"01","Verheiratetentarif",4,0,85.5
2004,4,"4","Kreis 4",2,"02","Einelternfamilientarif",0,0,17
2004,5,"5","Kreis 5",0,"00","Grundtarif",13,0,73
2004,5,"5","Kreis 5",1,"01","Verheiratetentarif",20,0,155
2004,5,"5","Kreis 5",2,"02","Einelternfamilientarif",2,0,46.5
2004,6,"6","Kreis 6",0,"00","Grundtarif",41,4,178
2004,6,"6","Kreis 6",1,"01","Verheiratetentarif",152,26,489
2004,6,"6","Kreis 6",2,"02","Einelternfamilientarif",25,0,118
2004,7,"7","Kreis 7",0,"00","Grundtarif",61,7,317
2004,7,"7","Kreis 7",1,"01","Verheiratetentarif",336.5,79,1142
2004,7,"7","Kreis 7",2,"02","Einelternfamilientarif",42.5,0,227
2004,8,"8","Kreis 8",0,"00","Grundtarif",40,2,204
2004,8,"8","Kreis 8",1,"01","Verheiratetentarif",203,35,707
2004,8,"8","Kreis 8",2,"02","Einelternfamilientarif",36,0,177
2004,9,"9","Kreis 9",0,"00","Grundtarif",20,0,112
2004,9,"9","Kreis 9",1,"01","Verheiratetentarif",69,0,262
2004,9,"9","Kreis 9",2,"02","Einelternfamilientarif",1,0,32
2004,10,"10","Kreis 10",0,"00","Grundtarif",34,2,161
2004,10,"10","Kreis 10",1,"01","Verheiratetentarif",144,21,460
2004,10,"10","Kreis 10",2,"02","Einelternfamilientarif",13,0,76
2004,11,"11","Kreis 11",0,"00","Grundtarif",18,0,99
2004,11,"11","Kreis 11",1,"01","Verheiratetentarif",66,0,254
2004,11,"11","Kreis 11",2,"02","Einelternfamilientarif",2,0,34
2004,12,"12","Kreis 12",0,"00","Grundtarif",13,0,78
2004,12,"12","Kreis 12",1,"01","Verheiratetentarif",37,0,171
2004,12,"12","Kreis 12",2,"02","Einelternfamilientarif",0,0,13.5
2005,1,"1","Kreis 1",0,"00","Grundtarif",34,0,207
2005,1,"1","Kreis 1",1,"01","Verheiratetentarif",224,32,878
2005,1,"1","Kreis 1",2,"02","Einelternfamilientarif",28,0,177
2005,2,"2","Kreis 2",0,"00","Grundtarif",37,3,194
2005,2,"2","Kreis 2",1,"01","Verheiratetentarif",162,24,508
2005,2,"2","Kreis 2",2,"02","Einelternfamilientarif",14,0,82
2005,3,"3","Kreis 3",0,"00","Grundtarif",20,0,101
2005,3,"3","Kreis 3",1,"01","Verheiratetentarif",53,0,222
2005,3,"3","Kreis 3",2,"02","Einelternfamilientarif",3,0,41
